(stash_infuse) [chris@motu:~/Projects/stash_infuse_0]$ ./stash_jellyfin_proxy.py
Loaded config from /home/chris/Projects/stash_infuse/stash_jellyfin_proxy.conf
  User: chris
  Stash URL: https://stash.feldorn.com
  Proxy: 0.0.0.0:8096
  API key: configured (147 chars)
  Server ID: a1b2c3d4e5f6a1b2c3d4e5f6
  Tag groups: Gooning, JOI, Good Boy, Tit Worship
  Latest groups: Scenes, Tit Worship
  Log level: INFO (20)
  Log file: /home/chris/Projects/stash_infuse/stash_jellyfin_proxy.log
2025-12-03 10:58:25,073 - stash-jellyfin-proxy - INFO - --- Stash-Jellyfin Proxy v3.56 ---
2025-12-03 10:58:25,073 - stash-jellyfin-proxy - INFO - Binding: 0.0.0.0:8096
2025-12-03 10:58:25,073 - stash-jellyfin-proxy - INFO - Stash URL: https://stash.feldorn.com
2025-12-03 10:58:25,073 - stash-jellyfin-proxy - INFO - Testing connection to Stash at https://stash.feldorn.com/graphql-local...
2025-12-03 10:58:25,073 - stash-jellyfin-proxy - INFO - Session configured with ApiKey header (key length: 147)
2025-12-03 10:58:25,095 - stash-jellyfin-proxy - INFO - ✅ Connected to Stash! Version: v0.29.3
2025-12-03 10:58:25,096 - stash-jellyfin-proxy - INFO - Starting Hypercorn server...
2025-12-03 10:58:27,693 - stash-jellyfin-proxy - INFO - INCOMING: GET /Items/scene-36482/PlaybackInfo from 192.168.0.233
2025-12-03 10:58:27,704 - stash-jellyfin-proxy - INFO - COMPLETED: 200 in 0.0103s
2025-12-03 10:58:27,716 - stash-jellyfin-proxy - INFO - INCOMING: GET /Users/chris/Items/scene-36482 from 192.168.0.233
2025-12-03 10:58:27,727 - stash-jellyfin-proxy - INFO - COMPLETED: 200 in 0.0107s
2025-12-03 10:58:27,728 - stash-jellyfin-proxy - INFO - INCOMING: GET /MediaSegments/scene-36482 from 192.168.0.233
2025-12-03 10:58:27,729 - stash-jellyfin-proxy - INFO - COMPLETED: 200 in 0.0005s
2025-12-03 10:58:27,741 - stash-jellyfin-proxy - INFO - INCOMING: GET /Videos/scene-36482/stream from 192.168.0.233
2025-12-03 10:58:28,719 - stash-jellyfin-proxy - INFO - COMPLETED: 206 in 0.9785s
2025-12-03 10:58:28,892 - stash-jellyfin-proxy - INFO - INCOMING: GET /Items/scene-36482/PlaybackInfo from 192.168.0.233
2025-12-03 10:58:28,898 - stash-jellyfin-proxy - INFO - COMPLETED: 200 in 0.0061s
2025-12-03 10:58:28,906 - stash-jellyfin-proxy - INFO - INCOMING: POST /Sessions/Playing from 192.168.0.233
2025-12-03 10:58:28,906 - stash-jellyfin-proxy - INFO - COMPLETED: 200 in 0.0004s
2025-12-03 10:58:38,930 - stash-jellyfin-proxy - INFO - INCOMING: POST /Sessions/Playing/Progress from 192.168.0.233
2025-12-03 10:58:38,930 - stash-jellyfin-proxy - INFO - COMPLETED: 200 in 0.0003s
2025-12-03 10:58:44,082 - stash-jellyfin-proxy - INFO - INCOMING: POST /Sessions/Playing/Stopped from 192.168.0.233
2025-12-03 10:58:44,083 - stash-jellyfin-proxy - INFO - COMPLETED: 200 in 0.0004s
2025-12-03 10:58:44,357 - stash-jellyfin-proxy - INFO - INCOMING: GET /Shows/NextUp from 192.168.0.233
2025-12-03 10:58:44,357 - stash-jellyfin-proxy - INFO - COMPLETED: 200 in 0.0003s
2025-12-03 10:58:44,364 - stash-jellyfin-proxy - INFO - INCOMING: GET /Users/chris/Items/Latest from 192.168.0.233
2025-12-03 10:58:44,388 - stash-jellyfin-proxy - INFO - INCOMING: GET /Users/chris/Items/Latest from 192.168.0.233
2025-12-03 10:58:44,388 - stash-jellyfin-proxy - INFO - INCOMING: GET /Users/chris/Items/Latest from 192.168.0.233
2025-12-03 10:58:44,388 - stash-jellyfin-proxy - INFO - INCOMING: GET /Users/chris/Items/Latest from 192.168.0.233
2025-12-03 10:58:44,388 - stash-jellyfin-proxy - INFO - INCOMING: GET /Users/chris/Items/Latest from 192.168.0.233
2025-12-03 10:58:44,388 - stash-jellyfin-proxy - INFO - COMPLETED: 200 in 0.0240s
2025-12-03 10:58:44,389 - stash-jellyfin-proxy - INFO - COMPLETED: 200 in 0.0012s
2025-12-03 10:58:44,389 - stash-jellyfin-proxy - INFO - COMPLETED: 200 in 0.0012s
2025-12-03 10:58:44,389 - stash-jellyfin-proxy - INFO - COMPLETED: 200 in 0.0012s
2025-12-03 10:58:44,389 - stash-jellyfin-proxy - INFO - COMPLETED: 200 in 0.0012s
2025-12-03 10:58:44,389 - stash-jellyfin-proxy - INFO - INCOMING: GET /Users/chris/Items/Latest from 192.168.0.233
2025-12-03 10:58:44,390 - stash-jellyfin-proxy - INFO - COMPLETED: 200 in 0.0006s
2025-12-03 10:58:44,394 - stash-jellyfin-proxy - INFO - INCOMING: GET /Users/chris/Items/Latest from 192.168.0.233
2025-12-03 10:58:44,395 - stash-jellyfin-proxy - INFO - COMPLETED: 200 in 0.0002s
2025-12-03 10:58:44,396 - stash-jellyfin-proxy - INFO - INCOMING: GET /Users/chris/Items/Latest from 192.168.0.233
2025-12-03 10:58:44,411 - stash-jellyfin-proxy - INFO - COMPLETED: 200 in 0.0154s
